1.4466 1.2668 1.7641 -22.0
1.4466 1.2668 1.7641 -22.0
1.4437 1.2644 1.7622 -22.0
1.4411 1.2623 1.7603 -22.0
1.4411 1.2623 1.7603 -22.0
1.4329 1.2558 1.7543 -22.0
1.4204 1.2458 1.7449 -22.0
1.4204 1.2458 1.7449 -22.0
1.4204 1.2458 1.7449 -22.0
1.3942 1.2254 1.7248 -22.0
1.3942 1.2254 1.7248 -22.0
1.3942 1.2254 1.7248 -22.0
1.361 1.2005 1.6983 -22.0
1.361 1.2005 1.6983 -22.0
1.361 1.2005 1.6983 -22.0
1.3205 1.1716 1.6641 -22.0
1.3205 1.1716 1.6641 -22.0
1.305 1.161 1.6504 -22.0
1.9555 1.1409 1.6219 0.0
1.9555 1.1409 1.6219 0.0
1.9555 1.1409 1.6219 0.0
1.8947 1.1019 1.5783 0.0
1.8947 1.1019 1.5783 0.0
1.8947 1.1019 1.5783 0.0
1.8233 1.0564 1.5336 0.0
1.8233 1.0564 1.5336 0.0
1.8233 1.0564 1.5336 0.0
2.4295 1.0729 1.4842 0.0
2.4295 1.0729 1.4842 0.0
2.4295 1.0729 1.4842 0.0
2.3333 0.9884 1.8133 0.0
2.3333 0.9884 1.8133 0.0
2.2666 0.9317 1.7601 0.0
2.2375 0.9074 1.7372 0.0
2.2375 0.9074 1.7372 0.0
2.2012 0.8777 1.709 0.0
2.1323 0.8231 1.6563 0.0
2.1323 0.8231 1.6563 0.0
2.1323 0.8231 1.6563 0.0
2.0289 0.7468 1.58 0.0
2.0289 0.7468 1.58 0.0
2.0289 0.7468 1.58 0.0
2.619 0.6827 1.511 0.0
2.619 0.6827 1.511 0.0
2.619 0.6827 1.511 0.0
2.5491 1.2013 1.4655 0.0
2.5169 1.1728 1.4453 0.0
2.5169 1.1728 1.4453 0.0
2.4152 1.0848 1.3848 0.0
2.4152 1.0848 1.3848 0.0
2.4152 1.0848 1.3848 0.0
2.4152 1.0848 1.3848 0.0
2.4152 1.0848 1.3848 0.0
2.2879 0.9797 1.6948 0.0
2.257 0.9553 1.6694 0.0
2.257 0.9553 1.6694 0.0
2.7582 0.9067 1.618 0.0
2.7227 0.8811 1.5903 0.0
2.7227 0.8811 1.5903 0.0
2.6287 0.8175 1.5186 0.0
